with_pinyin_part.part_type:string,:SRC_VID(string),:DST_VID(string)
initial,chang2,ch
final,chang2,ang
final,ai3,ai
initial,ren2,r
final,ren2,en
initial,kan4,k
final,kan4,an
initial,chang3,ch
final,chang3,ang
final,ai3,ai
initial,ren2,r
final,ren2,en
initial,kan4,k
final,kan4,an
initial,xi4,x
final,xi4,i
final,ai3,ai
initial,zi3,z
final,zi3,i
initial,guan1,g
final,guan1,uan
initial,chang2,ch
final,chang2,ang
final,ai3,ai
initial,zi3,z
final,zi3,i
initial,kan4,k
final,kan4,an
initial,xi4,x
final,xi4,i
final,ai3,ai
initial,ran2,r
final,ran2,an
initial,ke3,k
final,ke3,e
initial,qin1,q
final,qin1,in
final,ai3,ai
initial,ran2,r
final,ran2,an
initial,ren2,r
final,ren2,en
initial,zhe3,zh
final,zhe3,e
final,ai4,ai
initial,bie2,b
final,bie2,ie
initial,li2,l
final,li2,i
initial,ku3,k
final,ku3,u
final,ai4,ai
initial,bu4,b
final,bu4,u
initial,ren3,r
final,ren3,en
initial,shi4,sh
final,shi4,i
final,ai4,ai
initial,bu4,b
final,bu4,u
initial,shi4,sh
final,shi4,i
initial,shou3,sh
final,shou3,ou
final,ai4,ai
initial,cai2,c
final,cai2,ai
initial,ru2,r
final,ru2,u
initial,ke3,k
final,ke3,e
final,ai4,ai
initial,cai2,c
final,cai2,ai
initial,ru2,r
final,ru2,u
initial,ming4,m
final,ming4,ing
final,ai4,ai
initial,cai2,c
final,cai2,ai
initial,ruo4,r
final,ruo4,uo
initial,ke3,k
final,ke3,e
final,ai4,ai
initial,cai2,c
final,cai2,ai
initial,ru2,r
final,ru2,u
initial,ming4,m
final,ming4,ing
final,ai4,ai
initial,fu4,f
final,fu4,u
initial,xian2,x
final,xian2,ian
initial,pin2,p
final,pin2,in
final,ai4,ai
initial,guo2,g
final,guo2,uo
initial,ru2,r
final,ru2,u
initial,jia1,j
final,jia1,ia
final,ai4,ai
initial,he4,h
final,he4,e
initial,shi1,sh
final,shi1,i
initial,zhong4,zh
final,zhong4,ong
final,ai4,ai
initial,li3,l
final,li3,i
initial,cun2,c
final,cun2,un
initial,yang2,y
final,yang2,ang
final,ai4,ai
initial,mao2,m
final,mao2,ao
initial,fan3,f
final,fan3,an
initial,qiu2,q
final,qiu2,iu
final,ai4,ai
initial,min2,m
final,min2,in
initial,ru2,r
final,ru2,u
initial,zi3,z
final,zi3,i
final,ai4,ai
initial,mo4,m
final,mo4,o
initial,neng2,n
final,neng2,eng
initial,zhu4,zh
final,zhu4,u
final,ai4,ai
initial,mo4,m
final,mo4,o
initial,zhi1,zh
final,zhi1,i
initial,zhu4,zh
final,zhu4,u
final,ai4,ai
initial,qian2,q
final,qian2,ian
initial,ru2,r
final,ru2,u
initial,ming4,m
final,ming4,ing
final,ai4,ai
initial,ren2,r
final,ren2,en
initial,hao4,h
final,hao4,ao
initial,shi4,sh
final,shi4,i
final,ai4,ai
initial,ren2,r
final,ren2,en
initial,li4,l
final,li4,i
initial,wu4,w
final,wu4,u
final,ai4,ai
initial,ren2,r
final,ren2,en
initial,yi3,y
final,yi3,i
initial,de2,d
final,de2,e
final,ai4,ai
initial,ri4,r
final,ri4,i
initial,xi1,x
final,xi1,i
initial,li4,l
final,li4,i
final,ai4,ai
initial,ru2,r
final,ru2,u
initial,ji3,j
final,ji3,i
initial,chu1,ch
final,chu1,u
final,ai4,ai
initial,ru2,r
final,ru2,u
initial,zhen1,zh
final,zhen1,en
initial,bao3,b
final,bao3,ao
final,ai4,ai
initial,sheng1,sh
final,sheng1,eng
initial,wu4,w
final,wu4,u
initial,si3,s
final,si3,i
final,ai4,ai
initial,su4,s
final,su4,u
initial,hao4,h
final,hao4,ao
initial,gu3,g
final,gu3,u
final,ai4,ai
initial,wu1,w
final,wu1,u
initial,ji2,j
final,ji2,i
initial,wu1,w
final,wu1,u
final,ai4,ai
initial,xi1,x
final,xi1,i
initial,yu3,y
final,yu3,u
initial,mao2,m
final,mao2,ao
final,ai4,ai
initial,zeng1,z
final,zeng1,eng
initial,fen1,f
final,fen1,en
initial,ming2,m
final,ming2,ing
final,ai4,ai
initial,kou3,k
final,kou3,ou
initial,shi2,sh
final,shi2,i
initial,xiu1,x
final,xiu1,iu
final,ai4,ai
initial,nan2,n
final,nan2,an
initial,cong2,c
final,cong2,ong
initial,ming4,m
final,ming4,ing
final,ai4,ai
initial,shou3,sh
final,shou3,ou
final,ai4,ai
initial,jiao3,j
final,jiao3,iao
final,ai4,ai
initial,zu2,z
final,zu2,u
final,ai4,ai
initial,shou3,sh
final,shou3,ou
final,ai4,ai
initial,mei4,m
final,mei4,ei
initial,bu4,b
final,bu4,u
initial,ming2,m
final,ming2,ing
final,ai4,ai
initial,mei4,m
final,mei4,ei
initial,zhi1,zh
final,zhi1,i
initial,qing2,q
final,qing2,ing
final,an1,an
final,an1,an
initial,wen3,w
final,wen3,en
initial,wen3,w
final,wen3,en
final,an1,an
initial,bang1,b
final,bang1,ang
initial,ding4,d
final,ding4,ing
initial,guo2,g
final,guo2,uo
final,an1,an
initial,bang1,b
final,bang1,ang
initial,zhi4,zh
final,zhi4,i
initial,guo2,g
final,guo2,uo
final,an1,an
initial,bu4,b
final,bu4,u
initial,wang4,w
final,wang4,ang
initial,wei1,w
final,wei1,ei
final,an1,an
initial,bu4,b
final,bu4,u
initial,dang4,d
final,dang4,ang
initial,che1,ch
final,che1,e
final,an1,an
initial,chang2,ch
final,chang2,ang
initial,chu3,ch
final,chu3,u
initial,shun4,sh
final,shun4,un
final,an1,an
initial,chang2,ch
final,chang2,ang
initial,lv3,l
final,lv3,v
initial,shun4,sh
final,shun4,un
final,an1,an
initial,chang2,ch
final,chang2,ang
initial,shou3,sh
final,shou3,ou
initial,fen4,f
final,fen4,en
final,an1,an
initial,chang2,ch
final,chang2,ang
initial,shou3,sh
final,shou3,ou
initial,gu4,g
final,gu4,u
final,an1,an
initial,chang2,ch
final,chang2,ang
initial,xi2,x
final,xi2,i
initial,gu4,g
final,gu4,u
final,an1,an
initial,che1,ch
final,che1,e
initial,pu2,p
final,pu2,u
initial,lun2,l
final,lun2,un
final,an1,an
initial,du3,d
final,du3,u
initial,le4,l
final,le4,e
initial,ye4,y
final,ye4,e
final,an1,an
initial,du3,d
final,du3,u
initial,ru2,r
final,ru2,u
initial,gu4,g
final,gu4,u
final,an1,an
initial,fen4,f
final,fen4,en
initial,shou3,sh
final,shou3,ou
initial,ji3,j
final,ji3,i
final,an1,an
initial,fen3,f
final,fen3,en
initial,shou3,sh
final,shou3,ou
initial,ji3,j
final,ji3,i
final,an1,an
initial,fen4,f
final,fen4,en
initial,zhi1,zh
final,zhi1,i
initial,zu2,z
final,zu2,u
final,an1,an
initial,fen4,f
final,fen4,en
initial,shou3,sh
final,shou3,ou
initial,ji3,j
final,ji3,i
final,an1,an
initial,fu4,f
final,fu4,u
initial,xu4,x
final,xu4,u
initial,pin2,p
final,pin2,in
final,an1,an
initial,fu4,f
final,fu4,u
initial,xu4,x
final,xu4,u
initial,qiong2,q
final,qiong2,iong
final,an1,an
initial,fu4,f
final,fu4,u
initial,zun1,z
final,zun1,un
initial,rong2,r
final,rong2,ong
final,an1,an
initial,gu4,g
final,gu4,u
initial,zhong4,zh
final,zhong4,ong
initial,qian1,q
final,qian1,ian
final,an1,an
initial,guo2,g
final,guo2,uo
initial,fu4,f
final,fu4,u
initial,min2,m
final,min2,in
final,an1,an
initial,guo2,g
final,guo2,uo
initial,ning2,n
final,ning2,ing
initial,jia1,j
final,jia1,ia
final,an1,an
initial,hun2,h
final,hun2,un
initial,ding4,d
final,ding4,ing
initial,po4,p
final,po4,o
final,an1,an
initial,jia1,j
final,jia1,ia
initial,le4,l
final,le4,e
initial,ye4,y
final,ye4,e
final,an1,an
initial,jia1,j
final,jia1,ia
initial,li4,l
final,li4,i
initial,ye4,y
final,ye4,e
final,an1,an
initial,jia1,j
final,jia1,ia
initial,luo4,l
final,luo4,uo
initial,hu4,h
final,hu4,u
final,an1,an
initial,ju1,j
final,ju1,u
initial,le4,l
final,le4,e
initial,ye4,y
final,ye4,e
final,an1,an
initial,lao3,l
final,lao3,ao
initial,huai2,h
final,huai2,uai
initial,shao4,sh
final,shao4,ao
final,an1,an
initial,liang2,l
final,liang2,iang
initial,chu2,ch
final,chu2,u
initial,bao4,b
final,bao4,ao
final,an1,an
initial,mei2,m
final,mei2,ei
initial,dai4,d
final,dai4,ai
initial,yan3,y
final,yan3,an
final,an1,an
initial,min2,m
final,min2,in
initial,gao4,g
final,gao4,ao
initial,shi4,sh
final,shi4,i
final,an1,an
initial,nei4,n
final,nei4,ei
initial,rang3,r
final,rang3,ang
initial,wai4,w
final,wai4,ai
final,an1,an
initial,pin2,p
final,pin2,in
initial,le4,l
final,le4,e
initial,dao4,d
final,dao4,ao
final,an1,an
initial,pin2,p
final,pin2,in
initial,le4,l
final,le4,e
initial,jian4,j
final,jian4,ian
final,an1,an
initial,pin2,p
final,pin2,in
initial,shou3,sh
final,shou3,ou
initial,dao4,d
final,dao4,ao
final,an1,an
initial,ran2,r
final,ran2,an
initial,ru2,r
final,ru2,u
initial,gu4,g
final,gu4,u
final,an1,an
initial,ran2,r
final,ran2,an
initial,wu2,w
final,wu2,u
initial,shi4,sh
final,shi4,i
final,an1,an
initial,ran2,r
final,ran2,an
initial,wu2,w
final,wu2,u
initial,yang4,y
final,yang4,ang
final,an1,an
initial,ren3,r
final,ren3,en
initial,wu2,w
final,wu2,u
initial,qin1,q
final,qin1,in
final,an1,an
initial,ru2,r
final,ru2,u
initial,pan2,p
final,pan2,an
initial,shi2,sh
final,shi2,i
final,an1,an
initial,ru2,r
final,ru2,u
initial,pan2,p
final,pan2,an
initial,shi2,sh
final,shi2,i
final,an1,an
initial,ru2,r
final,ru2,u
initial,tai4,t
final,tai4,ai
initial,shan1,sh
final,shan1,an
final,an1,an
initial,ru2,r
final,ru2,u
initial,tai4,t
final,tai4,ai
initial,shan1,sh
final,shan1,an
final,an1,an
initial,ruo4,r
final,ruo4,uo
initial,tai4,t
final,tai4,ai
initial,shan1,sh
final,shan1,an
final,an1,an
initial,shen1,sh
final,shen1,en
initial,le4,l
final,le4,e
initial,ye4,y
final,ye4,e
final,an1,an
initial,shen1,sh
final,shen1,en
initial,li4,l
final,li4,i
initial,ming4,m
final,ming4,ing
final,an1,an
initial,shen1,sh
final,shen1,en
initial,wei2,w
final,wei2,ei
initial,le4,l
final,le4,e
final,an1,an
initial,shen1,sh
final,shen1,en
initial,zhi1,zh
final,zhi1,i
initial,chu4,ch
final,chu4,u
final,an1,an
initial,shen1,sh
final,shen1,en
initial,zhi1,zh
final,zhi1,i
initial,di4,d
final,di4,i
final,an1,an
initial,shen2,sh
final,shen2,en
initial,ding4,d
final,ding4,ing
initial,po4,p
final,po4,o
final,an1,an
initial,sheng1,sh
final,sheng1,eng
initial,fu2,f
final,fu2,u
initial,ye4,y
final,ye4,e
final,an1,an
initial,sheng1,sh
final,sheng1,eng
initial,le4,l
final,le4,e
initial,ye4,y
final,ye4,e
final,an1,an
initial,shi2,sh
final,shi2,i
initial,chu3,ch
final,chu3,u
initial,shun4,sh
final,shun4,un
final,an1,an
initial,shi4,sh
final,shi4,i
initial,li4,l
final,li4,i
initial,chu4,ch
final,chu4,u
final,an1,an
initial,shi4,sh
final,shi4,i
initial,ru2,r
final,ru2,u
initial,chang2,ch
final,chang2,ang
final,an1,an
initial,tu3,t
final,tu3,u
initial,le4,l
final,le4,e
initial,ye4,y
final,ye4,e
final,an1,an
initial,tu3,t
final,tu3,u
initial,zhong4,zh
final,zhong4,ong
initial,jiu4,j
final,jiu4,iu
final,an1,an
initial,tu3,t
final,tu3,u
initial,zhong4,zh
final,zhong4,ong
initial,ju1,j
final,ju1,u
final,an1,an
initial,tu3,t
final,tu3,u
initial,zhong4,zh
final,zhong4,ong
initial,qian1,q
final,qian1,ian
final,an1,an
initial,wei1,w
final,wei1,ei
initial,xiang1,x
final,xiang1,iang
initial,yi4,y
final,yi4,i
final,an1,an
initial,wei1,w
final,wei1,ei
initial,yu3,y
final,yu3,u
initial,gong4,g
final,gong4,ong
final,an1,an
initial,xian2,x
final,xian2,ian
initial,zi4,z
final,zi4,i
initial,de2,d
final,de2,e
final,an1,an
initial,xian2,x
final,xian2,ian
initial,zi4,z
final,zi4,i
initial,zai4,z
final,zai4,ai
final,an1,an
initial,xin1,x
final,xin1,in
initial,ding4,d
final,ding4,ing
initial,zhi4,zh
final,zhi4,i
final,an1,an
initial,xin1,x
final,xin1,in
initial,le4,l
final,le4,e
initial,ye4,y
final,ye4,e
final,an1,an
initial,xin1,x
final,xin1,in
initial,le4,l
final,le4,e
initial,yi4,y
final,yi4,i
final,an1,an
initial,xin1,x
final,xin1,in
initial,luo4,l
final,luo4,uo
initial,yi4,y
final,yi4,i
final,an1,an
initial,ying2,y
final,ying2,ing
initial,xia4,x
final,xia4,ia
initial,zhai4,zh
final,zhai4,ai
final,an1,an
initial,ying2,y
final,ying2,ing
initial,zha1,zh
final,zha1,a
initial,zhai4,zh
final,zhai4,ai
final,an1,an
initial,yu2,y
final,yu2,u
initial,pan2,p
final,pan2,an
initial,shi2,sh
final,shi2,i
final,an1,an
initial,yu2,y
final,yu2,u
initial,xian4,x
final,xian4,ian
initial,zhuang4,zh
final,zhuang4,uang
final,an1,an
initial,yu4,y
final,yu4,u
initial,yi1,y
final,yi1,i
initial,yu4,y
final,yu4,u
final,an1,an
initial,zhai2,zh
final,zhai2,ai
initial,zheng4,zh
final,zheng4,eng
initial,lu4,l
final,lu4,u
final,an1,an
initial,zhen3,zh
final,zhen3,en
final,er2,er
initial,wo4,w
final,wo4,o
final,an1,an
initial,zhi1,zh
final,zhi1,i
initial,ruo4,r
final,ruo4,uo
initial,ming4,m
final,ming4,ing
final,an1,an
initial,zhi1,zh
final,zhi1,i
initial,ruo4,r
final,ruo4,uo
initial,su4,s
final,su4,u
final,an1,an
initial,zuo4,z
final,zuo4,uo
initial,dai4,d
final,dai4,ai
initial,bi4,b
final,bi4,i
final,an1,an
initial,ma3,m
final,ma3,a
initial,lao2,l
final,lao2,ao
initial,dun4,d
final,dun4,un
final,an1,an
initial,ma3,m
final,ma3,a
initial,lao2,l
final,lao2,ao
initial,juan4,j
final,juan4,uan
final,an1,an
initial,ma3,m
final,ma3,a
initial,lao2,l
final,lao2,ao
initial,kun4,k
final,kun4,un
final,an1,an
initial,ma3,m
final,ma3,a
initial,lao2,l
final,lao2,ao
initial,shen2,sh
final,shen2,en
final,an1,an
initial,ma3,m
final,ma3,a
initial,zhi1,zh
final,zhi1,i
initial,lao2,l
final,lao2,ao
final,an1,an
initial,qian2,q
final,qian2,ian
initial,ma3,m
final,ma3,a
initial,hou4,h
final,hou4,ou
final,an4,an
initial,gu3,g
final,gu3,u
initial,zhi1,zh
final,zhi1,i
initial,bian4,b
final,bian4,ian
final,an4,an
initial,ran2,r
final,ran2,an
initial,dao4,d
final,dao4,ao
initial,mao4,m
final,mao4,ao
final,an4,an
initial,bing1,b
final,bing1,ing
initial,bu4,b
final,bu4,u
initial,dong4,d
final,dong4,ong
final,an4,an
initial,bing1,b
final,bing1,ing
initial,bu4,b
final,bu4,u
initial,ju3,j
final,ju3,u
final,an4,an
initial,bing1,b
final,bing1,ing
initial,shu4,sh
final,shu4,u
initial,jia3,j
final,jia3,ia
final,an4,an
initial,bu4,b
final,bu4,u
initial,jiu4,j
final,jiu4,iu
initial,ban1,b
final,ban1,an
final,an4,an
initial,bu4,b
final,bu4,u
initial,jiu4,j
final,jiu4,iu
initial,ban1,b
final,ban1,an
final,an4,an
initial,du3,d
final,du3,u
initial,ru2,r
final,ru2,u
initial,gu4,g
final,gu4,u
final,an4,an
initial,jia3,j
final,jia3,ia
initial,qin3,q
final,qin3,in
initial,bing1,b
final,bing1,ing
final,an4,an
initial,jia3,j
final,jia3,ia
initial,xiu1,x
final,xiu1,iu
initial,bing1,b
final,bing1,ing
final,an4,an
initial,ming2,m
final,ming2,ing
initial,ze2,z
final,ze2,e
initial,shi2,sh
final,shi2,i
final,an4,an
initial,na4,n
final,na4,a
initial,bu4,b
final,bu4,u
initial,zhu4,zh
final,zhu4,u
final,an4,an
initial,pei4,p
final,pei4,ei
initial,xu2,x
final,xu2,u
initial,xing2,x
final,xing2,ing
final,an4,an
initial,tu2,t
final,tu2,u
initial,suo3,s
final,suo3,uo
initial,ji4,j
final,ji4,i
final,an4,an
initial,tu2,t
final,tu2,u
initial,suo3,s
final,suo3,uo
initial,jun4,j
final,jun4,un
final,an4,an
initial,xing2,x
final,xing2,ing
initial,zi4,z
final,zi4,i
initial,yi4,y
final,yi4,i
final,an4,an
initial,bing1,b
final,bing1,ing
initial,shu4,sh
final,shu4,u
initial,jia3,j
final,jia3,ia
final,an4,an
initial,du2,d
final,du2,u
initial,lao2,l
final,lao2,ao
initial,xing2,x
final,xing2,ing
final,an4,an
initial,du2,d
final,du2,u
initial,zhi1,zh
final,zhi1,i
initial,lao2,l
final,lao2,ao
final,an4,an
initial,jia3,j
final,jia3,ia
initial,xiu1,x
final,xiu1,iu
initial,bing1,b
final,bing1,ing
final,an4,an
initial,jian4,j
final,jian4,ian
initial,chen1,ch
final,chen1,en
initial,mu4,m
final,mu4,u
final,an4,an
initial,wu2,w
final,wu2,u
initial,liu2,l
final,liu2,iu
initial,du2,d
final,du2,u
final,an4,an
initial,chui2,ch
final,chui2,ui
initial,da3,d
final,da3,a
initial,ren2,r
final,ren2,en
final,an4,an
initial,dan4,d
final,dan4,an
initial,wu2,w
final,wu2,u
initial,guang1,g
final,guang1,uang
final,an4,an
initial,dou4,d
final,dou4,ou
initial,ming2,m
final,ming2,ing
initial,zheng1,zh
final,zheng1,eng
final,an4,an
initial,du4,d
final,du4,u
initial,chen2,ch
final,chen2,en
initial,cang1,c
final,cang1,ang
final,an4,an
initial,du4,d
final,du4,u
initial,jin1,j
final,jin1,in
initial,zhen1,zh
final,zhen1,en
final,an4,an
initial,du4,d
final,du4,u
initial,chen2,ch
final,chen2,en
initial,cang1,c
final,cang1,ang
final,an4,an
initial,jian4,j
final,jian4,ian
initial,ming2,m
final,ming2,ing
initial,qiang1,q
final,qiang1,iang
final,an4,an
initial,jian4,j
final,jian4,ian
initial,nan2,n
final,nan2,an
initial,fang2,f
final,fang2,ang
final,an4,an
initial,jian4,j
final,jian4,ian
initial,shang1,sh
final,shang1,ang
initial,ren2,r
final,ren2,en
final,an4,an
initial,jian4,j
final,jian4,ian
initial,zhong4,zh
final,zhong4,ong
initial,ren2,r
final,ren2,en
final,an4,an
initial,lv4,l
final,lv4,v
initial,xi1,x
final,xi1,i
initial,hong2,h
final,hong2,ong
final,an4,an
initial,mei4,m
final,mei4,ei
initial,zhi1,zh
final,zhi1,i
initial,shi4,sh
final,shi4,i
final,an4,an
initial,qi4,q
final,qi4,i
final,an4,an
initial,nao3,n
final,nao3,ao
final,an4,an
initial,ruo4,r
final,ruo4,uo
initial,wu2,w
final,wu2,u
initial,duan4,d
final,duan4,uan
final,an4,an
initial,shi4,sh
final,shi4,i
initial,bu4,b
final,bu4,u
initial,qi1,q
final,qi1,i
final,an4,an
initial,shi4,sh
final,shi4,i
initial,feng2,f
final,feng2,eng
initial,deng1,d
final,deng1,eng
final,an4,an
initial,shi4,sh
final,shi4,i
initial,kui1,k
final,kui1,ui
initial,xin1,x
final,xin1,in
final,an4,an
initial,shi4,sh
final,shi4,i
initial,qi1,q
final,qi1,i
initial,xin1,x
final,xin1,in
final,an4,an
initial,shi4,sh
final,shi4,i
initial,qiu2,q
final,qiu2,iu
initial,wu4,w
final,wu4,u
final,an4,an
initial,shi4,sh
final,shi4,i
initial,si1,s
final,si1,i
initial,xin1,x
final,xin1,in
final,an4,an
initial,shi4,sh
final,shi4,i
initial,wu1,w
final,wu1,u
initial,lou4,l
final,lou4,ou
final,an4,an
initial,song4,s
final,song4,ong
initial,qiu1,q
final,qiu1,iu
initial,bo1,b
final,bo1,o
final,an4,an
initial,wu2,w
final,wu2,u
initial,tian1,t
final,tian1,ian
initial,ri4,r
final,ri4,i
final,an4,an
initial,xiang1,x
final,xiang1,iang
initial,shu1,sh
final,shu1,u
initial,ying3,y
final,ying3,ing
final,an4,an
initial,zhong1,zh
final,zhong1,ong
initial,mo1,m
final,mo1,o
initial,suo3,s
final,suo3,uo
final,an4,an
initial,dan4,d
final,dan4,an
initial,wu2,w
final,wu2,u
initial,guang1,g
final,guang1,uang
final,an4,an
initial,hui4,h
final,hui4,ui
initial,xiao1,x
final,xiao1,iao
initial,chen2,ch
final,chen2,en
final,an4,an
initial,ran2,r
final,ran2,an
initial,shang1,sh
final,shang1,ang
initial,shen2,sh
final,shen2,en
final,an4,an
initial,ran2,r
final,ran2,an
initial,shen2,sh
