:SRC_VID(string),:DST_VID(string),with_pinyin.position:int
碍难从命,nan2,1
碍难从命,cong2,2
碍难从命,ming4,3
碍手碍脚,ai4,0
碍手碍脚,shou3,1
碍手碍脚,ai4,2
碍手碍脚,jiao3,3
碍足碍手,ai4,0
碍足碍手,zu2,1
碍足碍手,ai4,2
碍足碍手,shou3,3
暧昧不明,ai4,0
暧昧不明,mei4,1
暧昧不明,bu4,2
暧昧不明,ming2,3
暧昧之情,ai4,0
暧昧之情,mei4,1
暧昧之情,zhi1,2
暧昧之情,qing2,3
安安稳稳,an1,0
安安稳稳,an1,1
安安稳稳,wen3,2
安安稳稳,wen3,3
安邦定国,an1,0
安邦定国,bang1,1
安邦定国,ding4,2
安邦定国,guo2,3
安邦治国,an1,0
安邦治国,bang1,1
安邦治国,zhi4,2
安邦治国,guo2,3
安不忘危,an1,0
安不忘危,bu4,1
安不忘危,wang4,2
安不忘危,wei1,3
安步当车,an1,0
安步当车,bu4,1
安步当车,dang4,2
安步当车,che1,3
安常处顺,an1,0
安常处顺,chang2,1
安常处顺,chu3,2
安常处顺,shun4,3
安常履顺,an1,0
安常履顺,chang2,1
安常履顺,lv3,2
安常履顺,shun4,3
安常守分,an1,0
安常守分,chang2,1
安常守分,shou3,2
安常守分,fen4,3
安常守故,an1,0
安常守故,chang2,1
安常守故,shou3,2
安常守故,gu4,3
安常习故,an1,0
安常习故,chang2,1
安常习故,xi2,2
安常习故,gu4,3
安车蒲轮,an1,0
安车蒲轮,che1,1
安车蒲轮,pu2,2
安车蒲轮,lun2,3
安堵乐业,an1,0
安堵乐业,du3,1
安堵乐业,le4,2
安堵乐业,ye4,3
安堵如故,an1,0
安堵如故,du3,1
安堵如故,ru2,2
安堵如故,gu4,3
安分守己,an1,0
安分守己,fen4,1
安分守己,shou3,2
安分守己,ji3,3
安分守已,an1,0
安分守已,fen3,1
安分守已,shou3,2
安分守已,ji3,3
安分知足,an1,0
安分知足,fen4,1
安分知足,zhi1,2
安分知足,zu2,3
安份守己,an1,0
安份守己,fen4,1
安份守己,shou3,2
安份守己,ji3,3
安富恤贫,an1,0
安富恤贫,fu4,1
安富恤贫,xu4,2
安富恤贫,pin2,3
安富恤穷,an1,0
安富恤穷,fu4,1
安富恤穷,xu4,2
安富恤穷,qiong2,3
安富尊荣,an1,0
安富尊荣,fu4,1
安富尊荣,zun1,2
安富尊荣,rong2,3
安故重迁,an1,0
安故重迁,gu4,1
安故重迁,zhong4,2
安故重迁,qian1,3
安国富民,an1,0
安国富民,guo2,1
安国富民,fu4,2
安国富民,min2,3
安国宁家,an1,0
安国宁家,guo2,1
安国宁家,ning2,2
安国宁家,jia1,3
安魂定魄,an1,0
安魂定魄,hun2,1
安魂定魄,ding4,2
安魂定魄,po4,3
安家乐业,an1,0
安家乐业,jia1,1
安家乐业,le4,2
安家乐业,ye4,3
安家立业,an1,0
安家立业,jia1,1
安家立业,li4,2
安家立业,ye4,3
安家落户,an1,0
安家落户,jia1,1
安家落户,luo4,2
安家落户,hu4,3
安居乐业,an1,0
安居乐业,ju1,1
安居乐业,le4,2
安居乐业,ye4,3
安老怀少,an1,0
安老怀少,lao3,1
安老怀少,huai2,2
安老怀少,shao4,3
安良除暴,an1,0
安良除暴,liang2,1
安良除暴,chu2,2
安良除暴,bao4,3
安眉带眼,an1,0
安眉带眼,mei2,1
安眉带眼,dai4,2
安眉带眼,yan3,3
安民告示,an1,0
安民告示,min2,1
安民告示,gao4,2
安民告示,shi4,3
安内攘外,an1,0
安内攘外,nei4,1
安内攘外,rang3,2
安内攘外,wai4,3
安贫乐道,an1,0
安贫乐道,pin2,1
安贫乐道,le4,2
安贫乐道,dao4,3
安贫乐贱,an1,0
安贫乐贱,pin2,1
安贫乐贱,le4,2
安贫乐贱,jian4,3
安贫守道,an1,0
安贫守道,pin2,1
安贫守道,shou3,2
安贫守道,dao4,3
安然如故,an1,0
安然如故,ran2,1
安然如故,ru2,2
安然如故,gu4,3
安然无事,an1,0
安然无事,ran2,1
安然无事,wu2,2
安然无事,shi4,3
安然无恙,an1,0
安然无恙,ran2,1
安然无恙,wu2,2
安然无恙,yang4,3
安忍无亲,an1,0
安忍无亲,ren3,1
安忍无亲,wu2,2
安忍无亲,qin1,3
安如盘石,an1,0
安如盘石,ru2,1
安如盘石,pan2,2
安如盘石,shi2,3
安如磐石,an1,0
安如磐石,ru2,1
安如磐石,pan2,2
安如磐石,shi2,3
安如太山,an1,0
安如太山,ru2,1
安如太山,tai4,2
安如太山,shan1,3
安如泰山,an1,0
安如泰山,ru2,1
安如泰山,tai4,2
安如泰山,shan1,3
安若泰山,an1,0
安若泰山,ruo4,1
安若泰山,tai4,2
安若泰山,shan1,3
安身乐业,an1,0
安身乐业,shen1,1
安身乐业,le4,2
安身乐业,ye4,3
安身立命,an1,0
安身立命,shen1,1
安身立命,li4,2
安身立命,ming4,3
安身为乐,an1,0
安身为乐,shen1,1
安身为乐,wei2,2
安身为乐,le4,3
安身之处,an1,0
安身之处,shen1,1
安身之处,zhi1,2
安身之处,chu4,3
安身之地,an1,0
安身之地,shen1,1
安身之地,zhi1,2
安身之地,di4,3
安神定魄,an1,0
安神定魄,shen2,1
安神定魄,ding4,2
安神定魄,po4,3
安生服业,an1,0
安生服业,sheng1,1
安生服业,fu2,2
安生服业,ye4,3
安生乐业,an1,0
安生乐业,sheng1,1
安生乐业,le4,2
安生乐业,ye4,3
安时处顺,an1,0
安时处顺,shi2,1
安时处顺,chu3,2
安时处顺,shun4,3
安室利处,an1,0
安室利处,shi4,1
安室利处,li4,2
安室利处,chu4,3
安适如常,an1,0
安适如常,shi4,1
安适如常,ru2,2
安适如常,chang2,3
安土乐业,an1,0
安土乐业,tu3,1
安土乐业,le4,2
安土乐业,ye4,3
安土重旧,an1,0
安土重旧,tu3,1
安土重旧,zhong4,2
安土重旧,jiu4,3
安土重居,an1,0
安土重居,tu3,1
安土重居,zhong4,2
安土重居,ju1,3
安土重迁,an1,0
安土重迁,tu3,1
安土重迁,zhong4,2
安土重迁,qian1,3
安危相易,an1,0
安危相易,wei1,1
安危相易,xiang1,2
安危相易,yi4,3
安危与共,an1,0
安危与共,wei1,1
安危与共,yu3,2
安危与共,gong4,3
安闲自得,an1,0
安闲自得,xian2,1
安闲自得,zi4,2
安闲自得,de2,3
安闲自在,an1,0
安闲自在,xian2,1
安闲自在,zi4,2
安闲自在,zai4,3
安心定志,an1,0
安心定志,xin1,1
安心定志,ding4,2
安心定志,zhi4,3
安心乐业,an1,0
安心乐业,xin1,1
安心乐业,le4,2
安心乐业,ye4,3
安心乐意,an1,0
安心乐意,xin1,1
安心乐意,le4,2
安心乐意,yi4,3
安心落意,an1,0
安心落意,xin1,1
安心落意,luo4,2
安心落意,yi4,3
安营下寨,an1,0
安营下寨,ying2,1
安营下寨,xia4,2
安营下寨,zhai4,3
安营扎寨,an1,0
安营扎寨,ying2,1
安营扎寨,zha1,2
安营扎寨,zhai4,3
安于盘石,an1,0
安于盘石,yu2,1
安于盘石,pan2,2
安于盘石,shi2,3
安于现状,an1,0
安于现状,yu2,1
安于现状,xian4,2
安于现状,zhuang4,3
安于一隅,an1,0
安于一隅,yu4,1
安于一隅,yi1,2
安于一隅,yu4,3
安宅正路,an1,0
安宅正路,zhai2,1
安宅正路,zheng4,2
安宅正路,lu4,3
安枕而卧,an1,0
安枕而卧,zhen3,1
安枕而卧,er2,2
安枕而卧,wo4,3
安之若命,an1,0
安之若命,zhi1,1
安之若命,ruo4,2
安之若命,ming4,3
安之若素,an1,0
安之若素,zhi1,1
安之若素,ruo4,2
安之若素,su4,3
安坐待毙,an1,0
安坐待毙,zuo4,1
安坐待毙,dai4,2
安坐待毙,bi4,3
鞍马劳顿,an1,0
鞍马劳顿,ma3,1
鞍马劳顿,lao2,2
鞍马劳顿,dun4,3
鞍马劳倦,an1,0
鞍马劳倦,ma3,1
鞍马劳倦,lao2,2
鞍马劳倦,juan4,3
鞍马劳困,an1,0
鞍马劳困,ma3,1
鞍马劳困,lao2,2
鞍马劳困,kun4,3
鞍马劳神,an1,0
鞍马劳神,ma3,1
鞍马劳神,lao2,2
鞍马劳神,shen2,3
鞍马之劳,an1,0
鞍马之劳,ma3,1
鞍马之劳,zhi1,2
鞍马之劳,lao2,3
鞍前马后,an1,0
鞍前马后,qian2,1
鞍前马后,ma3,2
鞍前马后,hou4,3
岸谷之变,an4,0
岸谷之变,gu3,1
岸谷之变,zhi1,2
岸谷之变,bian4,3
岸然道貌,an4,0
岸然道貌,ran2,1
岸然道貌,dao4,2
岸然道貌,mao4,3
按兵不动,an4,0
按兵不动,bing1,1
按兵不动,bu4,2
按兵不动,dong4,3
按兵不举,an4,0
按兵不举,bing1,1
按兵不举,bu4,2
按兵不举,ju3,3
按兵束甲,an4,0
按兵束甲,bing1,1
按兵束甲,shu4,2
按兵束甲,jia3,3
按步就班,an4,0
按步就班,bu4,1
按步就班,jiu4,2
按步就班,ban1,3
按部就班,an4,0
按部就班,bu4,1
按部就班,jiu4,2
按部就班,ban1,3
按堵如故,an4,0
按堵如故,du3,1
按堵如故,ru2,2
按堵如故,gu4,3
按甲寝兵,an4,0
按甲寝兵,jia3,1
按甲寝兵,qin3,2
按甲寝兵,bing1,3
按甲休兵,an4,0
按甲休兵,jia3,1
按甲休兵,xiu1,2
按甲休兵,bing1,3
按名责实,an4,0
按名责实,ming2,1
按名责实,ze2,2
按名责实,shi2,3
按捺不住,an4,0
按捺不住,na4,1
按捺不住,bu4,2
按捺不住,zhu4,3
按辔徐行,an4,0
按辔徐行,pei4,1
按辔徐行,xu2,2
按辔徐行,xing2,3
按图索骥,an4,0
按图索骥,tu2,1
按图索骥,suo3,2
按图索骥,ji4,3
按图索骏,an4,0
按图索骏,tu2,1
按图索骏,suo3,2
按图索骏,jun4,3
按行自抑,an4,0
按行自抑,xing2,1
按行自抑,zi4,2
按行自抑,yi4,3
案兵束甲,an4,0
案兵束甲,bing1,1
案兵束甲,shu4,2
案兵束甲,jia3,3
案牍劳形,an4,0
案牍劳形,du2,1
案牍劳形,lao2,2
案牍劳形,xing2,3
案牍之劳,an4,0
案牍之劳,du2,1
案牍之劳,zhi1,2
案牍之劳,lao2,3
案甲休兵,an4,0
案甲休兵,jia3,1
案甲休兵,xiu1,2
案甲休兵,bing1,3
案剑瞋目,an4,0
案剑瞋目,jian4,1
案剑瞋目,chen1,2
案剑瞋目,mu4,3
案无留牍,an4,0
案无留牍,wu2,1
案无留牍,liu2,2
案无留牍,du2,3
暗锤打人,an4,0
暗锤打人,chui2,1
暗锤打人,da3,2
暗锤打人,ren2,3
暗淡无光,an4,0
暗淡无光,dan4,1
暗淡无光,wu2,2
暗淡无光,guang1,3
暗斗明争,an4,0
暗斗明争,dou4,1
暗斗明争,ming2,2
暗斗明争,zheng1,3
暗度陈仓,an4,0
暗度陈仓,du4,1
暗度陈仓,chen2,2
暗度陈仓,cang1,3
暗度金针,an4,0
暗度金针,du4,1
暗度金针,jin1,2
暗度金针,zhen1,3
暗渡陈仓,an4,0
暗渡陈仓,du4,1
暗渡陈仓,chen2,2
暗渡陈仓,cang1,3
暗箭明枪,an4,0
暗箭明枪,jian4,1
暗箭明枪,ming2,2
暗箭明枪,qiang1,3
暗箭难防,an4,0
暗箭难防,jian4,1
暗箭难防,nan2,2
暗箭难防,fang2,3
暗箭伤人,an4,0
暗箭伤人,jian4,1
暗箭伤人,shang1,2
暗箭伤人,ren2,3
暗箭中人,an4,0
暗箭中人,jian4,1
暗箭中人,zhong4,2
暗箭中人,ren2,3
暗绿稀红,an4,0
暗绿稀红,lv4,1
暗绿稀红,xi1,2
暗绿稀红,hong2,3
暗昧之事,an4,0
暗昧之事,mei4,1
暗昧之事,zhi1,2
暗昧之事,shi4,3
暗气暗恼,an4,0
暗气暗恼,qi4,1
暗气暗恼,an4,2
暗气暗恼,nao3,3
暗弱无断,an4,0
暗弱无断,ruo4,1
暗弱无断,wu2,2
暗弱无断,duan4,3
暗室不欺,an4,0
暗室不欺,shi4,1
暗室不欺,bu4,2
暗室不欺,qi1,3
暗室逢灯,an4,0
暗室逢灯,shi4,1
暗室逢灯,feng2,2
暗室逢灯,deng1,3
暗室亏心,an4,0
暗室亏心,shi4,1
暗室亏心,kui1,2
暗室亏心,xin1,3
暗室欺心,an4,0
暗室欺心,shi4,1
暗室欺心,qi1,2
暗室欺心,xin1,3
暗室求物,an4,0
暗室求物,shi4,1
暗室求物,qiu2,2
暗室求物,wu4,3
暗室私心,an4,0
暗室私心,shi4,1
暗室私心,si1,2
暗室私心,xin1,3
暗室屋漏,an4,0
暗室屋漏,shi4,1
暗室屋漏,wu1,2
暗室屋漏,lou4,3
暗送秋波,an4,0
暗送秋波,song4,1
暗送秋波,qiu1,2
暗送秋波,bo1,3
暗无天日,an4,0
暗无天日,wu2,1
暗无天日,tian1,2
暗无天日,ri4,3
暗香疏影,an4,0
暗香疏影,xiang1,1
暗香疏影,shu1,2
暗香疏影,ying3,3
暗中摸索,an4,0
暗中摸索,zhong1,1
暗中摸索,mo1,2
暗中摸索,suo3,3
黯淡无光,an4,0
黯淡无光,dan4,1
黯淡无光,wu2,2
黯淡无光,guang1,3
黯晦消沉,an4,0
黯晦消沉,hui4,1
黯晦消沉,xiao1,2
黯晦消沉,chen2,3
黯然伤神,an4,0
黯然伤神,ran2,1
黯然伤神,shang1,2
黯然伤神,shen2,3
黯然神伤,an4,0
黯然神伤,ran2,1
黯然神伤,shen2,2
黯然神伤,shang1,3
黯然失色,an4,0
黯然失色,ran2,1
黯然失色,shi1,2
黯然失色,se4,3
黯然无色,an4,0
黯然无色,ran2,1
黯然无色,wu2,2
黯然无色,se4,3
黯然销魂,an4,0
黯然销魂,ran2,1
黯然销魂,xiao1,2
黯然销魂,hun2,3
昂昂自若,ang2,0
昂昂自若,ang2,1
昂昂自若,zi4,2
昂昂自若,roo4,3
昂藏七尺,ang2,0
昂藏七尺,cang2,1
昂藏七尺,qi1,2
昂藏七尺,chi3,3
昂然直入,ang2,0
昂然直入,ran2,1
昂然直入,zhi2,2
昂然直入,ru4,3
昂然自得,ang2,0
昂然自得,ran2,1
昂然自得,zi4,2
昂然自得,de2,3
昂然自若,ang2,0
昂然自若,ran2,1
昂然自若,zi4,2
昂然自若,ruo4,3
昂首阔步,ang2,0
昂首阔步,shou3,1
昂首阔步,kuo4,2
昂首阔步,bu4,3
昂首伸眉,ang2,0
昂首伸眉,shou3,1
昂首伸眉,shen1,2
昂首伸眉,mei2,3
昂首天外,ang2,0
昂首天外,shou3,1
昂首天外,tian1,2
昂首天外,wai4,3
昂首挺胸,ang2,0
昂首挺胸,shou3,1
昂首挺胸,ting3,2
昂首挺胸,xiong1,3
昂首望天,ang2,0
昂首望天,shou3,1
昂首望天,wang4,2
昂首望天,tian1,3
昂头阔步,ang2,0
昂头阔步,tou2,1
昂头阔步,kuo4,2
昂头阔步,bu4,3
昂头天外,ang2,0
昂头天外,tou2,1
昂头天外,tian1,2
昂头天外,wai4,3
昂头挺胸,ang2,0
昂头挺胸,tou2,1
昂头挺胸,ting3,2
昂头挺胸,xiong1,3
昂霄耸壑,ang2,0
昂霄耸壑,xiao1,1
昂霄耸壑,song3,2
昂霄耸壑,he4,3
盎盂相击,ang4,0
盎盂相击,yu2,1
盎盂相击,xiang1,2
盎盂相击,ji1,3
盎盂相敲,ang4,0
盎盂相敲,yu2,1
盎盂相敲,xiang1,2
盎盂相敲,qiao1,3
敖不可长,ao4,0
敖不可长,bu4,1
敖不可长,ke3,2
敖不可长,zhang3,3
敖世轻物,ao2,0
敖世轻物,shi4,1
敖世轻物,qing1,2
敖世轻物,wu4,3
嗷嗷待哺,ao2,0
嗷嗷待哺,ao2,1
嗷嗷待哺,dai4,2
嗷嗷待哺,bu3,3
遨翔自得,ao2,0
遨翔自得,xiang2,1
遨翔自得,zi4,2
遨翔自得,de2,3
熬肠刮肚,ao2,0
熬肠刮肚,chang2,1
熬肠刮肚,gua1,2
熬肠刮肚,du4,3
熬更守夜,ao2,0
熬更守夜,geng1,1
熬更守夜,shou3,2
熬更守夜,ye4,3
熬姜呷醋,ao2,0
熬姜呷醋,jiang1,1
熬姜呷醋,xia1,2
熬姜呷醋,cu4,3
熬枯受淡,ao2,0
熬枯受淡,ku1,1
熬枯受淡,shou4,2
熬枯受淡,dan4,3
熬清守淡,ao2,0
熬清守淡,qing1,1
熬清守淡,shou3,2
熬清守淡,dan4,3
熬清守谈,ao2,0
熬清守谈,qing1,1
熬清守谈,shou3,2
熬清守谈,tan2,3
熬清受淡,ao2,0
熬清受淡,qing1,1
熬清受淡,shou4,2
熬清受淡,dan4,3
熬心费力,ao2,0
熬心费力,xin1,1
熬心费力,fei4,2
熬心费力,li4,3
熬油费火,ao2,0
熬油费火,you2,1
熬油费火,fei4,2
熬油费火,huo3,3
聱牙佶屈,ao2,0
聱牙佶屈,ya2,1
聱牙佶屈,ji2,2
聱牙佶屈,qu1,3
聱牙戟口,ao2,0
聱牙戟口,ya2,1
聱牙戟口,ji3,2
聱牙戟口,kou3,3
聱牙诘曲,ao2,0
聱牙诘曲,ya2,1
聱牙诘曲,jie2,2
聱牙诘曲,qu1,3
聱牙诘屈,ao2,0
聱牙诘屈,ya2,1
聱牙诘屈,ji2,2
聱牙诘屈,qu1,3
謷牙诘屈,ao2,0
謷牙诘屈,ya2,1
謷牙诘屈,ji2,2
謷牙诘屈,qu1,3
鳌愤龙愁,ao2,0
鳌愤龙愁,fen4,1
鳌愤龙愁,long2,2
鳌愤龙愁,chou2,3
鳌里夺尊,ao2,0
鳌里夺尊,li3,1
鳌里夺尊,duo2,2
鳌里夺尊,zun1,3
鳌鸣鳖应,ao2,0
鳌鸣鳖应,ming2,1
鳌鸣鳖应,bie1,2
鳌鸣鳖应,ying1,3
