:VID(string),idiom.pinyin:string
按行自抑,"['an4', 'xing2', 'zi4', 'yi4']"
案兵束甲,"['an4', 'bing1', 'shu4', 'jia3']"
案牍劳形,"['an4', 'du2', 'lao2', 'xing2']"
案牍之劳,"['an4', 'du2', 'zhi1', 'lao2']"
案甲休兵,"['an4', 'jia3', 'xiu1', 'bing1']"
案剑瞋目,"['an4', 'jian4', 'chen1', 'mu4']"
案无留牍,"['an4', 'wu2', 'liu2', 'du2']"
暗锤打人,"['an4', 'chui2', 'da3', 'ren2']"
暗淡无光,"['an4', 'dan4', 'wu2', 'guang1']"
暗斗明争,"['an4', 'dou4', 'ming2', 'zheng1']"
暗度陈仓,"['an4', 'du4', 'chen2', 'cang1']"
暗度金针,"['an4', 'du4', 'jin1', 'zhen1']"
暗渡陈仓,"['an4', 'du4', 'chen2', 'cang1']"
暗箭明枪,"['an4', 'jian4', 'ming2', 'qiang1']"
暗箭难防,"['an4', 'jian4', 'nan2', 'fang2']"
暗箭伤人,"['an4', 'jian4', 'shang1', 'ren2']"
暗箭中人,"['an4', 'jian4', 'zhong4', 'ren2']"
暗绿稀红,"['an4', 'lv4', 'xi1', 'hong2']"
暗昧之事,"['an4', 'mei4', 'zhi1', 'shi4']"
暗气暗恼,"['an4', 'qi4', 'an4', 'nao3']"
暗弱无断,"['an4', 'ruo4', 'wu2', 'duan4']"
暗室不欺,"['an4', 'shi4', 'bu4', 'qi1']"
暗室逢灯,"['an4', 'shi4', 'feng2', 'deng1']"
暗室亏心,"['an4', 'shi4', 'kui1', 'xin1']"
暗室欺心,"['an4', 'shi4', 'qi1', 'xin1']"
暗室求物,"['an4', 'shi4', 'qiu2', 'wu4']"
暗室私心,"['an4', 'shi4', 'si1', 'xin1']"
暗室屋漏,"['an4', 'shi4', 'wu1', 'lou4']"
暗送秋波,"['an4', 'song4', 'qiu1', 'bo1']"
暗无天日,"['an4', 'wu2', 'tian1', 'ri4']"
暗香疏影,"['an4', 'xiang1', 'shu1', 'ying3']"
暗中摸索,"['an4', 'zhong1', 'mo1', 'suo3']"
黯淡无光,"['an4', 'dan4', 'wu2', 'guang1']"
黯晦消沉,"['an4', 'hui4', 'xiao1', 'chen2']"
黯然伤神,"['an4', 'ran2', 'shang1', 'shen2']"
黯然神伤,"['an4', 'ran2', 'shen2', 'shang1']"
黯然失色,"['an4', 'ran2', 'shi1', 'se4']"
黯然无色,"['an4', 'ran2', 'wu2', 'se4']"
黯然销魂,"['an4', 'ran2', 'xiao1', 'hun2']"
昂昂自若,"['ang2', 'ang2', 'zi4', 'roo4']"
昂藏七尺,"['ang2', 'cang2', 'qi1', 'chi3']"
昂然直入,"['ang2', 'ran2', 'zhi2', 'ru4']"
昂然自得,"['ang2', 'ran2', 'zi4', 'de2']"
昂然自若,"['ang2', 'ran2', 'zi4', 'ruo4']"
昂首阔步,"['ang2', 'shou3', 'kuo4', 'bu4']"
昂首伸眉,"['ang2', 'shou3', 'shen1', 'mei2']"
昂首天外,"['ang2', 'shou3', 'tian1', 'wai4']"
昂首挺胸,"['ang2', 'shou3', 'ting3', 'xiong1']"
昂首望天,"['ang2', 'shou3', 'wang4', 'tian1']"
昂头阔步,"['ang2', 'tou2', 'kuo4', 'bu4']"
昂头天外,"['ang2', 'tou2', 'tian1', 'wai4']"
昂头挺胸,"['ang2', 'tou2', 'ting3', 'xiong1']"
昂霄耸壑,"['ang2', 'xiao1', 'song3', 'he4']"
盎盂相击,"['ang4', 'yu2', 'xiang1', 'ji1']"
盎盂相敲,"['ang4', 'yu2', 'xiang1', 'qiao1']"
敖不可长,"['ao4', 'bu4', 'ke3', 'zhang3']"
敖世轻物,"['ao2', 'shi4', 'qing1', 'wu4']"
嗷嗷待哺,"['ao2', 'ao2', 'dai4', 'bu3']"
遨翔自得,"['ao2', 'xiang2', 'zi4', 'de2']"
熬肠刮肚,"['ao2', 'chang2', 'gua1', 'du4']"
熬更守夜,"['ao2', 'geng1', 'shou3', 'ye4']"
熬姜呷醋,"['ao2', 'jiang1', 'xia1', 'cu4']"
熬枯受淡,"['ao2', 'ku1', 'shou4', 'dan4']"
熬清守淡,"['ao2', 'qing1', 'shou3', 'dan4']"
熬清守谈,"['ao2', 'qing1', 'shou3', 'tan2']"
熬清受淡,"['ao2', 'qing1', 'shou4', 'dan4']"
熬心费力,"['ao2', 'xin1', 'fei4', 'li4']"
熬油费火,"['ao2', 'you2', 'fei4', 'huo3']"
聱牙佶屈,"['ao2', 'ya2', 'ji2', 'qu1']"
聱牙戟口,"['ao2', 'ya2', 'ji3', 'kou3']"
聱牙诘曲,"['ao2', 'ya2', 'jie2', 'qu1']"
聱牙诘屈,"['ao2', 'ya2', 'ji2', 'qu1']"
謷牙诘屈,"['ao2', 'ya2', 'ji2', 'qu1']"
鳌愤龙愁,"['ao2', 'fen4', 'long2', 'chou2']"
鳌里夺尊,"['ao2', 'li3', 'duo2', 'zun1']"
鳌鸣鳖应,"['ao2', 'ming2', 'bie1', 'ying1']"
鳌头独占,"['ao2', 'tou2', 'du2', 'zhan4']"
鳌掷鲸呿,"['ao2', 'zhi4', 'jing1', 'qu4']"
鳌掷鲸吞,"['ao2', 'zhi4', 'jing1', 'tun1']"
傲不可长,"['ao4', 'bu4', 'ke3', 'zhang3']"
傲骨嶙嶙,"['ao4', 'gu3', 'lin2', 'lin2']"
傲慢不逊,"['ao4', 'man4', 'bu4', 'xun4']"
傲慢少礼,"['ao4', 'man4', 'shao3', 'li3']"
傲慢无礼,"['ao4', 'man4', 'wu2', 'li3']"
傲睨得志,"['ao4', 'ni4', 'de2', 'zhi4']"
傲睨万物,"['ao4', 'ni4', 'wan4', 'wu4']"
傲睨一切,"['ao4', 'ni4', 'yi1', 'qie4']"
傲睨一世,"['ao4', 'ni4', 'yi1', 'shi4']"
傲睨自若,"['ao4', 'ni4', 'zi4', 'ruo4']"
傲然挺立,"['ao4', 'ran2', 'ting3', 'li4']"
傲然屹立,"['ao4', 'ran2', 'yi4', 'li4']"
傲世轻物,"['ao4', 'shi4', 'qing1', 'wu4']"
傲霜斗雪,"['ao4', 'shuang1', 'dou4', 'xue3']"
傲头傲脑,"['ao4', 'tou2', 'ao4', 'nao3']"
傲贤慢士,"['ao4', 'xian2', 'man4', 'shi4']"
傲雪凌霜,"['ao4', 'xue3', 'ling2', 'shuang1']"
傲雪欺霜,"['ao4', 'xue3', 'qi1', 'shuang1']"
奥妙无穷,"['ao4', 'miao4', 'wu2', 'qiong2']"
奥援有灵,"['ao4', 'yuan2', 'you3', 'ling2']"
懊悔无及,"['ao4', 'hui3', 'wu2', 'ji2']"
八百孤寒,"['ba1', 'bai3', 'gu1', 'han2']"
八拜之交,"['ba1', 'bai4', 'zhi1', 'jiao1']"
八窗玲珑,"['ba1', 'chuang1', 'ling2', 'long2']"
八斗之才,"['ba1', 'dou3', 'zhi1', 'cai2']"
八方风雨,"['ba1', 'fang1', 'feng1', 'yu3']"
八方呼应,"['ba1', 'fang1', 'hu1', 'ying4']"
八方支持,"['ba1', 'fang1', 'zhi1', 'chi2']"
八方支援,"['ba1', 'fang1', 'zhi1', 'yuan2']"
八府巡按,"['ba1', 'fu3', 'xun2', 'an4']"
八纮同轨,"['ba1', 'hong2', 'tong2', 'gui3']"
八荒之外,"['ba1', 'huang1', 'zhi1', 'wai4']"
八街九陌,"['ba1', 'jie1', 'jiu3', 'mo4']"
八面见光,"['ba1', 'mian4', 'jian4', 'guang1']"
八面玲珑,"['ba1', 'mian4', 'ling2', 'long2']"
八面驶风,"['ba1', 'mian4', 'shi3', 'feng1']"
八面受敌,"['ba1', 'mian4', 'shou4', 'di2']"
八面威风,"['ba1', 'mian4', 'wei1', 'feng1']"
八面莹澈,"['ba1', 'mian4', 'ying2', 'che4']"
八面圆通,"['ba1', 'mian4', 'yuan2', 'tong1']"
八面张罗,"['ba1', 'mian4', 'zhang1', 'luo']"
八难三灾,"['ba1', 'nan4', 'san1', 'zai1']"
八万四千,"['ba1', 'wan4', 'si4', 'qian1']"
八仙过海,"['ba1', 'xian1', 'guo4', 'hai3']"
八音迭奏,"['ba1', 'yin1', 'die2', 'zou4']"
八音遏密,"['ba1', 'yin1', 'e4', 'mi4']"
八珍玉食,"['ba1', 'zhen1', 'yu4', 'shi2']"
八字打开,"['ba1', 'zi4', 'da3', 'kai1']"
巴巴急急,"['ba1', 'ba1', 'ji2', 'ji2']"
巴巴劫劫,"['ba1', 'ba1', 'jie2', 'jie2']"
巴巴结结,"['ba1', 'ba1', 'jie1', 'jie1']"
巴高望上,"['ba1', 'gao1', 'wang4', 'shang4']"
巴高枝儿,"['ba1', 'gao1', 'zhi1', 'er2']"
巴前算后,"['ba1', 'qian2', 'suan4', 'hou4']"
巴人下里,"['ba1', 'ren2', 'xia4', 'li3']"
巴三览四,"['ba1', 'san1', 'lan3', 'si4']"
巴三揽四,"['ba1', 'san1', 'lan3', 'si4']"
巴山度岭,"['ba1', 'shan1', 'du4', 'ling3']"
巴山蜀水,"['ba1', 'shan1', 'shu3', 'shui3']"
巴山夜雨,"['ba1', 'shan1', 'ye4', 'yu3']"
巴山越岭,"['ba1', 'shan1', 'yue4', 'ling3']"
巴头探脑,"['ba1', 'tou2', 'tan4', 'nao3']"
扒耳搔腮,"['pa2', 'er3', 'sao1', 'sai1']"
扒高踩低,"['ba1', 'gao1', 'cai3', 'di1']"
抜格不入,"['han4', 'ge2', 'bu4', 'ru4']"
拔本塞原,"['ba2', 'ben3', 'se4', 'yuan2']"
拔本塞源,"['ba2', 'ben3', 'se4', 'yuan2']"
拔丛出类,"['ba2', 'cong2', 'chu1', 'lei4']"
拔萃出类,"['ba2', 'cui4', 'chu1', 'lei4']"
拔萃出群,"['ba2', 'cui4', 'chu1', 'qun2']"
拔刀相向,"['ba2', 'dao1', 'xiang1', 'xiang4']"
拔刀相助,"['ba2', 'dao1', 'xiang1', 'zhu4']"
拔地参天,"['ba2', 'di4', 'can1', 'tian1']"
拔地摇山,"['ba2', 'di4', 'yao2', 'shan1']"
拔地倚天,"['ba2', 'di4', 'yi3', 'tian1']"
拔丁抽楔,"['ba2', 'ding1', 'chou1', 'xie1']"
拔锅卷席,"['ba2', 'guo1', 'juan3', 'xi2']"
拔剑论功,"['ba2', 'jian4', 'lun4', 'gong1']"
拔葵啖枣,"['ba2', 'kui2', 'dan4', 'zao3']"
拔葵去织,"['ba2', 'kui2', 'qu4', 'zhi1']"
拔来报往,"['ba2', 'lai2', 'fu4', 'wang3']"
拔类超群,"['ba2', 'lei4', 'chao1', 'qun2']"
拔毛济世,"['ba2', 'mao2', 'ji4', 'shi4']"
拔毛连茹,"['ba2', 'mao2', 'lian2', 'ru2']"
拔茅连茹,"['ba2', 'mao2', 'lian2', 'ru2']"
拔苗助长,"['ba2', 'miao2', 'zhu4', 'zhang3']"
拔群出萃,"['ba2', 'qun2', 'chu1', 'cui4']"
拔山超海,"['ba2', 'shan1', 'chao1', 'hai3']"
拔山盖世,"['ba2', 'shan1', 'gai4', 'shi4']"
拔山举鼎,"['ba2', 'shan1', 'ju3', 'ding3']"
拔山扛鼎,"['ba2', 'shan1', 'gang1', 'ding3']"
拔十得五,"['ba2', 'shi2', 'de2', 'wu3']"
拔十失五,"['ba2', 'shi2', 'shi1', 'wu3']"
拔树撼山,"['ba2', 'shu4', 'han4', 'shan1']"
拔树搜根,"['ba2', 'shu4', 'sou1', 'gen1']"
拔树寻根,"['ba2', 'shu4', 'xun2', 'gen1']"
拔犀擢象,"['ba2', 'xi1', 'zhuo2', 'xiang4']"
拔辖投井,"['ba2', 'xia2', 'tou2', 'jing3']"
拔新领异,"['ba2', 'xin1', 'ling3', 'yi4']"
拔宅飞升,"['ba2', 'zhai2', 'fei1', 'sheng1']"
拔宅上升,"['ba2', 'zhai2', 'shang4', 'sheng1']"
拔赵易汉,"['ba2', 'zhao4', 'yi4', 'han4']"
拔帜树帜,"['ba2', 'zhi4', 'shu4', 'zhi4']"
拔帜易帜,"['ba2', 'zhi4', 'yi4', 'zhi4']"
跋胡痜尾,"['ba2', 'hu2', 'zhi4', 'wei3']"
跋扈飞扬,"['ba2', 'hu4', 'fei1', 'yang2']"
跋扈自恣,"['ba2', 'hu4', 'zi4', 'zi4']"
跋扈恣睢,"['ba2', 'hu4', 'zi4', 'sui1']"
跋来报往,"['ba2', 'lai2', 'fu4', 'wang3']"
跋履山川,"['ba2', 'lv3', 'shan1', 'chuan1']"
跋前踕后,"['ba2', 'qian2', 'jie2', 'hou4']"
跋前痜后,"['ba2', 'qian2', 'zhi4', 'hou4']"
跋前踬后,"['ba2', 'qian2', 'zhi4', 'hou4']"
仓颉造字,"['cang1', 'jie2', 'zao4', 'zi4']"
跋山涉川,"['ba2', 'shan1', 'she4', 'chuan1']"
跋山涉水,"['ba2', 'shan1', 'she4', 'shui3']"
跋涉山川,"['ba2', 'she4', 'shan1', 'chuan1']"
把臂入林,"['ba3', 'bi4', 'ru4', 'lin2']"
把臂徐去,"['ba3', 'bi4', 'xu2', 'qu4']"
把持不定,"['ba3', 'chi2', 'bu4', 'ding4']"
把饭叫饥,"['ba3', 'fan4', 'jiao4', 'ji1']"
把酒持螯,"['ba3', 'jiu3', 'chi2', 'ao2']"
把素持斋,"['ba3', 'su4', 'chi2', 'zhai1']"
把玩无厌,"['ba3', 'wan2', 'wu3', 'yan4']"
把薪助火,"['ba3', 'xin1', 'zhu4', 'huo3']"
罢黜百家,"['ba1', 'chu4', 'bai3', 'jia1']"
霸道横行,"['ba4', 'dao4', 'heng2', 'xing2']"
霸陵醉尉,"['ba4', 'ling2', 'zui4', 'wei4']"
霸王别姬,"['ba4', 'wang2', 'bie2', 'ji1']"
霸王风月,"['ba4', 'wang2', 'feng1', 'yue4']"
白白朱朱,"['bai2', 'bai2', 'zhu1', 'zhu1']"
白璧青蝇,"['bai2', 'bi4', 'qing1', 'ying2']"
白璧三献,"['bai2', 'bi4', 'san1', 'xian4']"
白璧微瑕,"['bai2', 'bi4', 'wei1', 'xia2']"
白璧无瑕,"['bai2', 'bi4', 'wu2', 'xia2']"
白草黄云,"['bai2', 'cao3', 'huang2', 'yun2']"
白齿青眉,"['bai2', 'chi3', 'qing1', 'mei2']"
白藋同心,"['bai2', 'diao4', 'tong2', 'xin1']"
白丁俗客,"['bai2', 'ding1', 'su2', 'ke4']"
白发苍苍,"['bai2', 'fa4', 'cang1', 'cang1']"
白发苍颜,"['bai2', 'fa4', 'cang1', 'yan2']"
白发丹心,"['bai2', 'fa4', 'dan1', 'xin1']"
白发红颜,"['bai2', 'fa4', 'hong2', 'yan2']"
白发千丈,"['bai2', 'fa4', 'qian1', 'zhang4']"
白发青衫,"['bai2', 'fa4', 'qing1', 'shan1']"
白发朱颜,"['bai2', 'fa4', 'zhu1', 'yan2']"
白饭青刍,"['bai2', 'fan4', 'qing1', 'chu2']"
白骨露野,"['bai2', 'gu3', 'lu4', 'ye3']"
白骨再肉,"['bai2', 'gu3', 'zai4', 'rou4']"
白圭之玷,"['bai2', 'gui1', 'zhi1', 'dian4']"
白黑不分,"['bai2', 'hei1', 'bu4', 'fen1']"
白黑颠倒,"['bai2', 'hei1', 'dian1', 'dao3']"
